date,course,off,race_name,distance,runner_rows,flag_reason,decision,evidence
2016-03-17,Chelmsford (AW),6:50,totetrifecta Pick The World Hurdle 1 2 3 Handicap,5f,9,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Polytrack; checked 2026-09-23; https://www.horseracing.net/results/chelmsford/17-03-16
2016-04-27,Punchestown (IRE),5:30,Bibby Financial Services Ireland Punchestown Gold Cup,3m1f,6,distance at least 3 miles,exclude_non_flat,Published race result specifies 17 fences; checked 2026-09-23; https://www.racingpost.com/results/195/punchestown/2016-04-27/648585
2016-06-15,Chelmsford (AW),6:40,Jem Partners Chase Handicap,1m2f,7,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Polytrack; checked 2026-09-23; https://www.horseracing.net/results/chelmsford/15-06-16
2016-08-13,Ripon,1:50,CHS Vehicles Maiden Auction Stakes,6f,11,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/ripon/13-08-16
2016-10-12,Keeneland (USA),9:24,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,12,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2017-05-20,Doncaster,6:50,EBF Breeders Series Chase Medical Fillies Handicap (TBA Bonus Race),1m2f,7,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/doncaster/20-05-17
2017-08-19,Ripon,2:05,CHS Vehicles Novice Auction Stakes,1m,5,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/ripon/19-08-17
2017-08-28,Downpatrick (IRE),5:15,AJC Group Winner Alright Ladies Upstyle Hair Competition Win A Trip To Croatia Beginners Chs,2m3f,7,race-name keyword,exclude_non_flat,Source race name explicitly says Beginners Chs; contradicts Flat label.
2017-10-11,Keeneland (USA),9:24,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,14,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2018-04-25,Punchestown (IRE),5:30,Coral Punchestown Gold Cup,3m½f,12,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/galway-races/raceresults/Wed-25th-Apr-2018/Punchestown/1730
2018-05-04,Compiegne (FR),2:05,Prix Hyeres III (Hurdles) (Conditions) (4yo) (Turf),2m2f,13,race-name keyword,exclude_non_flat,Source race name explicitly identifies Hurdles; contradicts Flat label.
2018-05-15,Compiegne (FR),2:45,Prix Boum (Cross-Country) (Conditions) (5yo+) (Turf),2m7½f,8,race-name keyword,exclude_non_flat,Source race name explicitly identifies Cross-Country; contradicts Flat label.
2018-05-19,Doncaster,6:50,Chase Medical EBF Breeders Series Fillies Handicap,1m2f,5,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/doncaster/19-05-18
2018-08-01,Galway (IRE),7:20,thetote.com Galway Plate (Chase Handicap),2m6½f,22,race-name keyword,exclude_non_flat,Source race name explicitly identifies Chase Handicap; contradicts Flat label.
2018-08-18,Ripon,1:30,CHS Vehicles Novice Auction Stakes,1m,8,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/ripon/18-08-18
2018-10-10,Keeneland (USA),9:24,JPMorgan Chase Jessamine  (2yo Fillies) (Turf),1m½f,13,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2019-10-09,Keeneland (USA),9:24,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,14,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2020-02-02,Leopardstown (IRE),3:30,Paddy Power Irish Gold Cup,3m,8,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/raceresults/Sun-2nd-Feb-2020/Leopardstown/1530
2020-10-07,Keeneland (USA),9:24,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,11,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2020-10-11,Pardubice (CZE),3:40,130th Velka Pardubicka se Slavia Pojistovnou (Listed Cross Country Race) (6yo+) (Turf),4m2½f,18,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly identifies Listed Cross Country Race; contradicts Flat label.
2021-04-28,Punchestown (IRE),5:55,Ladbrokes Punchestown Gold Cup,3m½f,6,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/raceresults/Wed-28th-Apr-2021/Punchestown/1755
2021-10-10,Pardubice (CZE),2:45,131st Velka Pardubicka se Slavia Pojisovnou (Listed Cross Country Race) (6yo+) (Turf),4m2½f,18,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly identifies Listed Cross Country Race; contradicts Flat label.
2021-10-13,Keeneland (USA),9:44,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,13,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2022-02-05,Leopardstown (IRE),3:15,Paddy Power Irish Gold Cup,3m½f,8,distance at least 3 miles,exclude_non_flat,Published result identifies the Irish Gold Cup as a chase; checked 2026-09-23; https://www.racingtv.com/results/2022-02-05/leopardstown/1515
2022-04-27,Punchestown (IRE),5:55,Ladbrokes Punchestown Gold Cup,3m,9,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/raceresults/Wed-28th-Apr-2021/Punchestown/1755
2022-10-05,Navan (IRE),3:00,Troytown Chase Day Early Bird Tickets On Sale Now Handicap,5½f,13,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/navan/05-10-22
2022-10-07,Keeneland (USA),9:44,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,12,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2022-10-09,Pardubice (CZE),3:00,132nd Velka Pardubicka With Slavia Insurance (Listed Cross Country Race) (6yo+) (Turf),4m2½f,15,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly identifies Listed Cross Country Race; contradicts Flat label.
2023-02-04,Leopardstown (IRE),3:05,Paddy Power Irish Gold Cup,3m,7,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/raceresults/Sat-4th-Feb-2023/Leopardstown/1505
2023-04-22,Nottingham,7:30,Castle Rock Harvest Pale Chase Maiden Stakes (GBB Race),1m2f,5,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/nottingham/22-04-23
2023-04-26,Punchestown (IRE),5:55,Ladbrokes Punchestown Gold Cup,3m,5,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/raceresults/Wed-26th-Apr-2023/Punchestown/1755
2023-07-21,Nottingham,4:00,Chase The Dream At ctdracing.co.uk EBF Fillies Restricted Novice Stakes (Bands C And D) (GBB Race),1m2f,7,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/nottingham/21-07-23
2023-09-03,Craon (FR),5:00,Prix Super U Craon (Listed Cross Country Race) (5yo+) (Turf),3m6f,11,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly identifies Listed Cross Country Race; contradicts Flat label.
